,Tesseract,Ground_Truth
0,u,D
1,by,by
2,Willlam,William
3,J,J
4,nvolvng,involving
5,t,the
6,AFLCID,AFLCIO
7,cmng,attaching
8,Admlnlstratlons,Administrations
9,d,gold
10,jurlsdlctlon,jurisdiction
11,t,the
12,m,to
13,mm,bill
14,m,to
15,prohlblt,prohibit
16,nvolvng,involving
17,m,to
18,L,L
19,a,a
20,mg,ing
21,contrlbute,contribute
22,reportlng,reporting
23,statlstlcs,statistics
24,worklng,working
25,condltlons,conditions
26,dlstrlbutlon,distribution
27,advertlslng,advertising
28,commlttee,committee
29,by,by
30,cm,CMA
31,A,QA
32,ENVIRONMENT,ENVIRONMENT
33,has,has
34,pendlng,pending
35,Subcommlttee,Subcommittee
36,Worklng,Working
37,nvted,invited
38,a,a
39,mm,with
40,by,by
41,submltted,submitted
42,Addltlonal,Additional
43,Willlam,William
44,B,B
45,m,to
46,testlng,testing
47,STAFF,STAFF
48,has,has
49,nted,insisted
50,pendlng,pending
51,mm,mid
52,Commlttees,Committees
53,by,by
54,Commlttee,Committee
55,has,has
56,Commlsslon,Commission
57,by,by
58,mg,ing
59,EEDCS,EECs
60,jurlsdlctlon,jurisdiction
61,A,A
62,CoNsUMER,CONSUMER
63,BILL,BILL
64,Subcommlttee,Subcommittee
65,b,bill
66,establlsh,establish
67,m,to
68,addltlon,addition
69,cm,CMA
70,T,T
71,thls,this
72,suggestlng,suggesting
73,Commlttee,Committee
74,Subcommlttee,Subcommittee
75,marklng,marking
76,thls,this
77,ownsmm,OVERSIGHT
78,on,on
79,mfFlaJ,DFla
80,Commlttee,Committee
81,Commlttee,Committee
82,by,by
83,Perslstently,Persistently
84,EPAS,EPAs
85,mm,issuing
86,Submlttal,Submittal
87,EPAS,EPAs
88,Admlnlstrator,Administrator
89,mpllcatlons,implications
90,posslble,possible
91,envlronmentallsts,environmentalists
92,thls,this
93,polltlcal,political
94,ms,his
95,REPORT,REPORT
96,wrtten,written
97,by,by
98,Commlttee,Committee
99,Subcommlttee,Subcommittee
100,Hlth,with
101,hearlngs,hearings
102,By,By
103,Commlttees,Committees
104,K,K
105,vsmg,Using
106,flnanclng,financing
107,Endlng,Ending
108,Permlttlng,Permitting
109,actlvltles,activities
110,Endlng,Ending
111,Quallfylng,Qualifying
112,earnlngs,earnings
113,CMAD,CMA
114,speclflc,specific
115,a,a
116,endlng,ending
117,were,were
118,a,a
119,cernlng,cerning
120,by,by
121,phthalatejolastlclzed,phthalateplasticized
122,polyvlnyl,polyvinyl
123,m,film
124,blrth,birth
125,mm,with
126,plastlclzers,plasticizers
127,plastlcs,plastics
128,polyvlnyl,polyvinyl
129,wlsh,wish
130,a,a
131,technlcal,technical
132,Plannlng,Planning
133,nvolvng,involving
134,admlnlstratlon,administration
135,ASSOCIATION,ASSOCIATION
136,has,has
137,mm,with
138,Unlverslty,University
139,a,a
140,reglstry,registry
141,acroosteolysls,acroosteolysis
142,flngertlp,fingertip
143,lesmnsy,lesions
144,a,a
145,ndustry,industry
146,by,by
147,contrlbutlons,contributions
148,polyvlnyl,polyvinyl
149,a,a
150,whlch,which
151,Hlth,with
152,cllnlcal,clinical
153,thls,this
154,syndrome,syndrome
155,polyvlnyl,polyvinyl
156,as,as
157,a,a
158,concernlng,concerning
159,facllltles,facilities
160,m,to
161,Hlth,with
162,m,to
163,coMMIssIoN,COMMISSION
164,cm,CMA
165,scheduled,scheduled
166,a,a
167,concernlng,concerning
168,by,by
169,requestlng,requesting
170,wrltten,written
171,by,by
172,dld,did
173,sufflclent,sufficient
174,a,a
175,a,a
176,T,T
177,flrst,first
178,thls,this
179,CURRENTSPILDT,CURRENTSPILOT
180,whlch,which
181,by,by
182,P,P
183,ACTIVITIES,ACTIVITIES
184,by,by
185,ncreaslng,increasing
186,a,a
187,descrlblng,describing
188,dlstrlbutlon,distribution
189,upcomlng,upcoming
190,A,A
191,A,A
192,Growth,Growth
193,by,by
194,Exhlblt,Exhibit
195,ellclted,elicited
196,Admlnlstrators,Administrators
