,Tesseract,Ground_Truth,IS_error
0,These,These,False
1,1nd1v1duals,individuals,True
2,today,today,False
3,are,are,False
4,more,more,False
5,willing,willing,False
6,and,and,False
7,capable,capable,False
8,of,of,False
9,representlng,representing,True
10,you,your,False
11,companles,companies,False
12,and,and,False
13,our,our,False
14,1ndustry,industry,False
15,than,than,False
16,ever,ever,False
17,before.,before.,False
18,It's,It's,False
19,also,also,False
20,clear,clear,False
21,to,to,False
22,the,the,False
23,commlttee,committee,True
24,that,that,False
25,many,many,False
26,companles,companies,False
27,are,are,False
28,now,now,False
29,placlng,placing,False
30,1ncrease,increased,False
31,value,value,False
32,on,on,False
33,communlcatlons,communications,False
34,skllls,skills,True
35,when,when,False
36,senlor,senior,False
37,management,management,False
38,selects,selects,False
39,the,the,False
40,people,people,False
41,to,to,False
42,serve,serve,False
43,as,as,False
44,your,your,False
45,plant,plant,False
46,managers.,managers.,False
47,on,On,False
48,the,the,False
49,medla,media,False
50,rel.tlons,relations,False
51,front,front,False
52,1n,in,False
53,"1996,","1986,",True
54,the,the,False
55,commlttee,committee,True
56,felt,felt,False
57,that,that,False
58,we,we,False
59,generally,generally,False
60,recelV-d,received,False
61,falr,fair,False
62,coverage.,coverage.,False
63,Our,Our,False
64,relatlonshlps,relationships,True
65,Hlth,with,True
66,envlronmental,environmental,False
67,reorters,reporters,False
68,for,for,False
69,many,many,False
70,major,major,False
71,medla,media,False
72,were,were,False
73,further,further,False
74,"regard,","regard,",False
75,and,and,False
76,we,we,False
77,had,had,False
78,another,another,False
79,year,year,False
80,to,to,False
81,Increase,Increase,False
82,our,our,False
83,1ndustry's,industry's,True
84,credlblllty,credibility,True
85,Hlth,with,True
86,these,these,False
87,reporters.,reporters.,False
88,In,In,False
89,"addltlon,","addition,",True
90,all,all,False
91,of,of,False
92,our,our,False
93,sklns,skins,True
94,got,got,False
95,a,a,True
96,llttle,little,True
97,m:,bit,False
98,trucker,thicker,False
99,1n,in,False
100,as,as,False
101,the,the,False
102,1ndustry,industry,False
103,learned,learned,False
104,anew,anew,False
105,frustratlng,frustrating,False
106,part,part,False
107,of,of,False
108,all,all,False
109,of,of,False
110,our,our,False
111,Jobs.,Jobs.,False
112,A5,As,True
113,a,a,True
114,"result,","result,",False
115,our,our,False
116,collectlve,collective,False
117,that,that,False
118,1t's,it's,False
119,the,the,False
120,g,long,True
121,tam,term,False
122,results,results,False
123,that,that,False
124,count,count,False
125,1n,in,False
126,worklng,working,True
127,Hlth,with,True
128,the,the,False
129,press.,press.,False
130,publlc,public,False
131,opinion,opinion,False
132,rveys.,surveys.,False
133,I,I,True
134,won't,won't,False
135,go,go,False
136,1nto,into,False
137,all,all,False
138,the,the,False
139,"statlstlcs,","statistics,",True
140,but,but,False
141,I,I,True
142,trunk,think,False
143,a,a,True
144,few,few,False
145,trnds,trends,True
146,are,are,False
147,worth,worth,False
148,comment.,comment.,False
149,Accordlng,According,True
150,to,to,False
151,one,one,False
152,prestlglous,prestigious,True
153,natlonal,national,False
154,"survey,","survey,",False
155,the,the,False
156,publlc's,public's,True
157,Vlew,view,False
158,of,of,False
159,our,our,False
160,Industry,Industry,False
161,mproved,improved,False
162,measurably.,measurably.,False
163,Our,Our,False
164,approval,approval,False
165,ratlng,rating,False
166,1n,in,False
167,thls,this,True
168,survey,survey,False
169,Increased,Increased,False
170,by,by,True
171,about,about,False
172,percent,percent,False
173,durlng,during,False
174,1995.,1986.,True
175,"However,","However,",False
176,falrness,fairness,False
177,requlre,requires,False
178,me,me,False
179,to,to,False
180,polnt,point,False
181,out,out,False
182,that,that,False
183,we,we,False
184,started,started,False
185,the,the,False
186,year,year,False
187,dead,dead,False
188,last,last,False
189,among,among,False
190,"1nustr1es,","industries,",False
191,mm,with,True
192,a,a,True
193,ratlng,rating,False
194,so,so,False
195,low,low,False
196,that,that,False
197,any,any,False
198,luvprovement,improvement,False
199,woul,would,False
200,seem,seem,False
201,large,large,False
202,by,by,True
203,comparlson.,comparison.,False
204,Th1:,This,False
205,"unprovement,","improvement,",False
206,though,though,False
207,"sllght,","slight,",True
208,m-ved,moved,False
209,us,us,False
210,from,from,False
211,15th,15th,False
212,place,place,False
213,to,to,False
214,about,about,False
215,12th,12th,False
216,or,or,False
217,13th,13th,False
218,on,on,False
219,cm,CMA,True
220,the,the,False
221,1ndustry,industry,False
222,115-.,list.,True
223,We're,We're,False
224,above,above,False
225,the,the,False
226,alcohol,alcohol,False
227,and,and,False
228,nuclear,nuclear,False
229,power,power,False
230,1ndustr1es,industries,False
231,and,and,False
232,Vry,very,True
233,close,close,False
234,to,to,False
235,the,the,False
236,electrlc,electric,True
237,utility,utility,False
238,1ndustry.,industry.,True
239,Now,Now,False
240,our,our,False
241,standlng,standing,True
242,doe-n't,doesn't,True
243,begln,begin,False
244,to,to,False
245,compare,compare,False
246,mm,with,True
247,the,the,False
248,ratlngs,ratings,True
249,of,of,False
250,the,the,False
251,topirated,top-rated,False
252,computr,computer,False
253,1ndustry,industry,False
254,or,or,False
255,the,the,False
256,food,food,False
257,and,and,False
258,retalllng,retailing,True
259,1ndustr1es.,industries.,False
260,1t's,it's,False
261,been,been,False
262,Since,since,False
263,932.,1982.,True
264,That,That,False
265,has,has,False
266,to,to,False
267,quallfy,qualify,False
268,as,as,False
269,good,good,False
270,news.,news.,False
271,Th1:,This,False
272,survey,survey,False
273,showd,showed,False
274,two,two,False
275,other,other,False
276,ltems,items,False
277,of,of,False
278,speclal,special,False
279,1nterest.,interest.,False
280,"First,","First,",False
281,approval,approval,False
282,ratlng,rating,False
283,ma:,that,False
284,would,would,False
285,place,place,False
286,1:,it,True
287,at,at,False
288,about,about,False
289,5th,5th,False
290,place,place,False
291,on,on,False
292,the,the,False
293,lSilndustry,15-industry,False
294,115:,list.,True
295,Since,Since,False
296,many,many,False
297,of,of,False
298,the,the,False
299,companles,companies,False
300,here,here,False
301,today,today,False
302,have,have,False
303,some,some,False
304,1nterest,interest,False
305,1n,in,False
306,"plastlcs,","plastics,",True
307,thls,this,True
308,approval,approval,False
309,ratlng,rating,False
310,should,should,False
311,be,be,False
312,encouraglng.,encouraging.,True
313,"And,","And,",False
314,"secondly,","secondly,",True
315,t,the,True
316,e,oil,True
317,"1ndustry,","industry,",True
318,whlch,which,True
319,for,for,False
320,years,years,False
321,had,had,False
322,been,been,False
323,1n,in,False
324,the,the,False
325,publlc's,public's,True
326,doghousn,doghouse.,False
327,Improved,Improved,False
328,notlceably.,noticeably.,False
329,In,In,False
330,the,the,False
331,all,oil,False
332,guys,guys,False
333,all,all,False
334,the,the,False
335,way,way,False
336,up,up,False
337,(n,to,False
338,about,about,False
339,the,the,False
340,mddle,middle,False
341,of,of,False
342,the,the,False
343,1ndustr1es.,industries.,False
344,So,So,False
345,publlc's,public's,True
346,opinion,opinion,False
347,about,about,False
348,us,us,False
349,stayed,stayed,False
350,the,the,False
351,same,same,False
352,or,or,False
353,1mproved,improved,False
354,only,only,False
355,sllghtly.,slightly.,True
356,We,We,False
357,see,seem,False
358,to,to,False
359,be,be,False
360,reboundlng,rebounding,True
361,slowly,slowly,False
362,from,from,False
363,last,last,False
364,year's,year's,False
365,Yet,Yet,False
366,we,we,False
367,should,should,False
368,no,not,False
369,confuse,confuse,False
370,these,these,False
371,sllght,slight,True
372,unprovements,improvements,False
373,Hlth,with,True
374,any,any,False
375,lessemng,lessening,False
376,of,of,False
377,the,the,False
378,publlc's,public's,True
379,concern,concern,False
380,about,about,False
381,the,the,False
382,envlronment,environment,False
383,and,and,False
384,our,our,False
385,1ndustry.,industry.,True
386,place,place,False
387,envlronmenal,environmental,False
388,concerns,concerns,False
389,Very,very,False
390,high,high,False
391,among,among,False
392,thelr,their,False
393,"prlorltles,","priorities,",False
394,even,even,False
395,to,to,False
396,the,the,False
397,poln,point,False
398,of,of,False
399,preferrlng,preferring,True
400,the,the,False
401,envlronment,environment,False
402,over,over,False
403,jobs,jobs,False
404,or,or,False
405,hlgher,higher,False
406,prices,prices,False
407,wh-n,when,False
408,faced,faced,False
409,Hlth,with,True
410,a,a,True
411,cholce,choice,False
412,1n,in,False
413,the,the,False
414,surveys.,surveys.,False
415,The,The,False
416,publlc,public,False
417,contlues,continues,False
418,to,to,False
419,rank,rank,False
420,the,the,False
421,dlsposal,disposal,False
422,of,of,False
423,hazardous,hazardous,False
424,wastes,wastes,False
425,as,as,False
426,1::,its,True
427,number,number,False
428,one,one,False
429,evlronmental,environmental,False
430,concern,concern,False
431,and,and,False
432,alts:,cites,False
433,the,the,False
